"SchoolId","FinanceId","SchoolName","SchoolNetworkName","Meeting01","Meeting02","Meeting03","Meeting04","Meeting05","Meeting06","Meeting07","Meeting08","Meeting09","Meeting10","Meeting11","Meeting12","Meeting13","Meeting14","Meeting15","Meeting16","Meeting17","Meeting18","Meeting19","Meeting20","Meeting21","Meeting22","Meeting23","Meeting24"
"609772","22021","ADDAMS","Lake Calumet","07/2012 ","08/2012 ","09/2012 ","10/03/2012 05:30 PM","11/2012 ","12/2012 ","01/2013 ","02/2013 ","03/27/2013 05:30 PM","04/2013 ","05/01/2013 05:30 PM","06/05/2013 05:30 PM","","","","","","","","","","","",""
"609773","22031","AGASSIZ","Ravenswood-Ridge","07/2012 ","08/2012 ","09/2012 ","10/2012 ","11/2012 ","12/2012 ","01/2013 ","02/2013 ","03/2013 ","04/2013 ","05/2013 ","06/2013 ","","","","","","","","","","","",""
"610513","45231","AIR FORCE HS","Southwest Side","07/10/2012 10:15 AM","08/2012 ","09/2012 ","10/2012 ","11/01/2012 03:30 PM","12/2012 ","01/24/2013 03:30 PM","02/2013 ","03/28/2013 03:30 PM","04/2013 ","05/2013 ","06/17/2013 03:30 PM","","","","","","","","","","","",""
"610212","32011","ALBANY PARK","O'Hare","07/2012 ","08/12/2012 07:00 AM","09/11/2012 07:00 AM","10/09/2012 07:00 AM","11/06/2012 07:00 AM","12/11/2012 07:00 AM","01/15/2013 07:00 AM","02/12/2013 07:00 AM","03/12/2013 07:00 AM","04/16/2013 07:00 AM","05/14/2013 07:00 AM","06/11/2013 07:00 AM","","","","","","","","","","","",""
"609774","22041","ALCOTT ES","Fullerton"," ","","","","","","","","","","","","","","","","","","","","","","",""
"610524","22041","ALCOTT HS","North-Northwest Side","07/2012 ","08/08/2012 06:00 PM","09/18/2012 08:00 AM","10/17/2012 06:00 PM","11/14/2012 08:00 AM","12/2012 ","01/16/2013 06:00 PM","02/20/2013 08:00 AM","03/20/2013 06:00 PM","04/17/2013 08:00 AM","05/15/2013 06:00 PM","06/12/2013 08:00 AM","","","","","","","","","","","",""
"609848","22641","ALDRIDGE","Lake Calumet","07/2012 ","08/2012 ","09/2012 ","10/2012 ","11/2012 ","12/2012 ","01/15/2013 01:30 PM","02/05/2013 01:30 PM","03/12/2013 01:30 PM","04/09/2013 01:30 PM","05/14/2013 01:30 PM","06/2013 ","","","","","","","","","","","",""
"609775","22051","ALTGELD","Englewood-Gresham","07/2012 ","08/2012 ","09/2012 ","10/11/2012 05:30 PM","11/08/2012 10:00 AM","12/13/2012 10:00 AM","01/17/2013 05:30 PM","02/03/2013 10:00 AM","03/2013 ","04/18/2013 05:30 PM","05/16/2013 10:00 AM","06/2013 ","","","","","","","","","","","",""
"609780","41111","AMES","Fullerton","07/2012 ","08/2012 ","09/2012 ","10/2012 ","11/2012 ","12/2012 ","01/2013 ","02/2013 ","03/2013 ","04/2013 ","05/2013 ","06/2013 ","","","","","","","","","","","",""
"609695","46031","AMUNDSEN HS","North-Northwest Side","07/2012 ","08/2012 ","09/2012 ","10/09/2012 06:00 PM","11/13/2012 06:00 PM","12/11/2012 06:00 PM","01/08/2013 06:00 PM","02/13/2013 06:00 PM","03/12/2013 06:00 PM","04/09/2013 06:00 PM","05/14/2013 06:00 PM","06/11/2013 06:00 PM","","","","","","","","","","","",""
"609951","23421","ARIEL","Burnham Park","07/2012 ","08/2012 ","09/18/2012 07:45 AM","10/15/2012 07:45 AM","11/19/2012 07:45 AM","12/17/2012 07:45 AM","01/14/2013 07:45 AM","02/18/2013 07:45 AM","03/18/2013 07:45 AM","04/15/2013 07:45 AM","05/20/2013 07:45 AM","06/2013 ","","","","","","","","","","","",""
"609777","22061","ARMOUR","Pershing","07/2012 ","08/21/2012 09:00 AM","09/25/2012 08:00 AM","10/23/2012 08:00 AM","11/27/2012 08:00 AM","12/18/2012 08:00 AM","01/29/2013 08:00 AM","02/26/2013 08:00 AM","03/26/2013 08:00 AM","04/30/2013 08:00 AM","05/21/2013 08:00 AM","06/04/2013 08:00 AM","","","","","","","","","","","",""
"609779","22081","ARMSTRONG, G","Ravenswood-Ridge","07/11/2012 06:00 PM","08/2012 06:00 PM","09/11/2012 06:00 PM","10/09/2012 06:00 PM","11/14/2012 03:15 PM","12/11/2012 06:00 PM","01/15/2013 06:00 PM","02/13/2013 06:00 PM","03/12/2013 06:00 PM","04/16/2013 06:00 PM","05/14/2013 06:00 PM","06/11/2013 06:00 PM","","","","","","","","","","","",""
"610156","25221","ARMSTRONG, L","Austin-North Lawndale","07/2012 ","08/15/2012 03:15 PM","09/2012 ","10/10/2012 03:15 PM","11/2012 ","12/12/2012 03:15 PM","01/2013 ","02/20/2013 03:15 PM","03/2013 ","04/17/2013 03:15 PM","05/2013 ","06/12/2013 03:15 PM","","","","","","","","","","","",""
